ROUTENAME,Place,Place_KR,Latitude,Longitude
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Geumjung Mt. fortress, Geumjung Mt. fortress,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Bugjangdae, Bugjangdae,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Dongnaeeupseong Fortress North Gate, Dongnaeeupseong Fortress North Gate,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), 장영실 과학동산, 장영실 과학동산,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Dongnaeeupseong Fortress Site, Dongnaeeupseong Fortress Site,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Bokcheon Museum, Bokcheon Museum,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Beomeosa Sungbo Museum, Beomeosa Sungbo Museum,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Geumjung Mt. fortress, Geumjung Mt. fortress,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Bugjangdae, Bugjangdae,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Dongnaeeupseong Fortress North Gate, Dongnaeeupseong Fortress North Gate,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), 장영실 과학동산, 장영실 과학동산,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Dongnaeeupseong Fortress Site, Dongnaeeupseong Fortress Site,,
Central Busan Tour : Back to the Chosun Dynasty era (Starts 10:00), Bokcheon Museum, Bokcheon Museum,,
1 DAY Korea Transit Tour : Take a journey in your travel,Odusan Unification Tower,Odusan Unification Tower,,
1 DAY Korea Transit Tour : Take a journey in your travel, Starfield Goyang, Starfield Goyang,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul,Ami-ro 128beon-gil,Ami-ro 128beon-gil,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul, Busan Gamcheon Culture Village, Busan Gamcheon Culture Village,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul, Jagalchi Market, Jagalchi Market,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul, Gwangalli Beach, Gwangalli Beach,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul, Haedong Yonggungsa, Haedong Yonggungsa,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul, Haeundae Beach, Haeundae Beach,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul, Marine city 1-ro, Marine city 1-ro,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul, Oryukdo Skywalk, Oryukdo Skywalk,,
Private Tour: 2Days Busan Old & New Urban Centres Tour by KTX Train from Seoul, Haeundae Blue Line Park, Haeundae Blue Line Park,,
Half-day Korean Folk Village Tour by Shuttle,Korean Folk Village,Korean Folk Village,,
"Vivaldi Park Ocean World,Luge, Sheep Farm,Sky Swing tour with round trip shuttle",Vivaldi Park,Vivaldi Park,,
Jecheon One Day Tour (Special Offer 30% Off),KTOURSTORY,KTOURSTORY,,
Jecheon One Day Tour (Special Offer 30% Off), Cheongpung Cultural Heritage Complex, Cheongpung Cultural Heritage Complex,,
Jecheon One Day Tour (Special Offer 30% Off), Jecheon-si, Jecheon-si,,
Jecheon One Day Tour (Special Offer 30% Off), Cheongpung Cultural Heritage Complex, Cheongpung Cultural Heritage Complex,,
Seoul Instagram Night Tour,Gwanghwamun Square,Gwanghwamun Square,,
Seoul Instagram Night Tour, Gwanghwamun Gate, Gwanghwamun Gate,,
Seoul Instagram Night Tour, Cheonggyecheon Stream, Cheonggyecheon Stream,,
Seoul Instagram Night Tour, Jonggak Avenue of Youth, Jonggak Avenue of Youth,,
Seoul Instagram Night Tour, Jongno Tower, Jongno Tower,,
Seoul Instagram Night Tour, Jogyesa Temple, Jogyesa Temple,,
Drinks & Bites in Seoul Private Tour,Gwangjang Market,Gwangjang Market,,
Drinks & Bites in Seoul Private Tour, Myeongdong Shopping Street, Myeongdong Shopping Street,,
Seoul Day Walking Tour with traditional spots (+ free snap photo shoot),Tongin Market,Tongin Market,,
Seoul Day Walking Tour with traditional spots (+ free snap photo shoot), Gwanghwamun Gate, Gwanghwamun Gate,,
Seoul Day Walking Tour with traditional spots (+ free snap photo shoot), Gyeongbokgung Palace, Gyeongbokgung Palace,,
Seoul Day Walking Tour with traditional spots (+ free snap photo shoot), Jogyesa Temple, Jogyesa Temple,,
Seoul Day Walking Tour with traditional spots (+ free snap photo shoot), Insadong, Insadong,,
Seoul City Tour - Free Photo Service ,Gyeongbokgung Palace,Gyeongbokgung Palace,,
Seoul City Tour - Free Photo Service , Bukchon Hanok Village, Bukchon Hanok Village,,
Seoul City Tour - Free Photo Service , Insadong, Insadong,,
Seoul City Tour - Free Photo Service , Kwangjang Market, Kwangjang Market,,
Seoul City Tour - Free Photo Service , Namsangol Hanok Village, Namsangol Hanok Village,,
Seoul City Tour - Free Photo Service , N Seoul Tower, N Seoul Tower,,
Seoul City Tour - Free Photo Service , Myeongdong Shopping Street, Myeongdong Shopping Street,,
Seoul Night Walking Tour with popular film spots (+free snap photo shoot),Dongdaemun Design Plaza (DDP),Dongdaemun Design Plaza (DDP),,
Seoul Night Walking Tour with popular film spots (+free snap photo shoot), Dongdaemun Gate (Heunginjimun), Dongdaemun Gate (Heunginjimun),,
Seoul Night Walking Tour with popular film spots (+free snap photo shoot), Seoul City Wall, Seoul City Wall,,
Seoul Night Walking Tour with popular film spots (+free snap photo shoot), Naksan Park, Naksan Park,,
Seoul Night Walking Tour with popular film spots (+free snap photo shoot), Marronnier Park, Marronnier Park,,
Lotte World Tower Seoul Sky Tour,Lotte World Tower & Mall,Lotte World Tower & Mall,,
Jeju Customizable Private Tour ,Manjanggul Cave,Manjanggul Cave,,
Jeju Customizable Private Tour , Seongeup Folk Village, Seongeup Folk Village,,
Jeju Customizable Private Tour , Seongsan Ilchulbong, Seongsan Ilchulbong,,
Jeju Customizable Private Tour , Gwangchigi Beach, Gwangchigi Beach,,
Jeju Customizable Private Tour , Seopjikoji-ro, Seopjikoji-ro,,
Fun & Informative Daegu in Korea Virtual Tour ,Palgongsan Cable Car,Palgongsan Cable Car,,
Fun & Informative Daegu in Korea Virtual Tour , Donghwasa, Donghwasa,,
Fun & Informative Daegu in Korea Virtual Tour , Daegu Yangnyeongsi Museum of Oriental Medicine, Daegu Yangnyeongsi Museum of Oriental Medicine,,
Fun & Informative Daegu in Korea Virtual Tour , Seomun Market, Seomun Market,,
Fun & Informative Daegu in Korea Virtual Tour , Kim Gwangseok Street, Kim Gwangseok Street,,
Fun & Informative Daegu in Korea Virtual Tour , 83 Tower, 83 Tower,,
Fun & Informative Daegu in Korea Virtual Tour , Manhyujung, Manhyujung,,
Fun & Informative Daegu in Korea Virtual Tour , Andong Hahoe Folk Village, Andong Hahoe Folk Village,,
Seoul Royal Palace Tour in Deoksugung Palace and National Museum of Art,Deoksugung,Deoksugung,,
Seoul Royal Palace Tour in Deoksugung Palace and National Museum of Art, Deoksugung, Deoksugung,,
Gangneung Danoje Romantic Day Tour from Seoul,Gyeongpo Beach,Gyeongpo Beach,,
Gangneung Danoje Romantic Day Tour from Seoul, Gangneung Jungang Market, Gangneung Jungang Market,,
Han River sunset Chicken & Karaoke Private Tour,Nodeul Island,Nodeul Island,,
Busan Yacht & City Tour,Haedong Yonggungsa,Haedong Yonggungsa,,
Busan Yacht & City Tour, Gwangalli Beach, Gwangalli Beach,,
Busan Yacht & City Tour, Suyeongman Bay Yachting Center, Suyeongman Bay Yachting Center,,
Busan Yacht & City Tour, Busan Gamcheon Culture Village, Busan Gamcheon Culture Village,,
Busan Yacht & City Tour, Haedong Yonggungsa, Haedong Yonggungsa,,
Busan Yacht & City Tour, Gwangalli Beach, Gwangalli Beach,,
Busan Yacht & City Tour, Suyeongman Bay Yachting Center, Suyeongman Bay Yachting Center,,
Busan Yacht & City Tour, Busan Gamcheon Culture Village, Busan Gamcheon Culture Village,,
Royal palace and Korean Food Half-Day Walking Tour,Gyeongbokgung Palace,Gyeongbokgung Palace,,
Royal palace and Korean Food Half-Day Walking Tour, Bukchon Hanok Village, Bukchon Hanok Village,,
Royal palace and Korean Food Half-Day Walking Tour, Insadong, Insadong,,
Royal palace and Korean Food Half-Day Walking Tour, Jogyesa Temple, Jogyesa Temple,,
Royal palace and Korean Food Half-Day Walking Tour, Gyeongbokgung Palace, Gyeongbokgung Palace,,
Royal palace and Korean Food Half-Day Walking Tour, Bukchon Hanok Village, Bukchon Hanok Village,,
Royal palace and Korean Food Half-Day Walking Tour, Insadong, Insadong,,
Royal palace and Korean Food Half-Day Walking Tour, Jogyesa Temple, Jogyesa Temple,,
Half-day Walking tour of Namdaemun market and Seoul Tower,Seoul City Hall,Seoul City Hall,,
Half-day Walking tour of Namdaemun market and Seoul Tower, N Seoul Tower, N Seoul Tower,,
Half-day Walking tour of Namdaemun market and Seoul Tower, Namdaemun Market, Namdaemun Market,,
Full day Korean DMZ & JSA (Panmunjeom) tour without shopping stop,DMZ,DMZ,,
Private Full Day Tour of Busan Eastern Part Highlights,Haedong Yonggungsa,Haedong Yonggungsa,,
Private Full Day Tour of Busan Eastern Part Highlights, Busan Premium Outlet, Busan Premium Outlet,,
Private Full Day Tour of Busan Eastern Part Highlights, Haeundae Beach, Haeundae Beach,,
Private Full Day Tour of Busan Eastern Part Highlights, Dongbaekseom, Dongbaekseom,,
Private Full Day Tour of Busan Eastern Part Highlights, Nurimaru APAC House, Nurimaru APAC House,,
Romantic Jinhae Cherry Blossom Night Tour - Depart from Busan,Gyeonghwa Station Cherry Blossom Road,Gyeonghwa Station Cherry Blossom Road,,
Romantic Jinhae Cherry Blossom Night Tour - Depart from Busan, Yeojwacheon Stream, Yeojwacheon Stream,,
No Tour,The War Memorial of Korea,The War Memorial of Korea,,
No Tour, Insa-dong Street, Insa-dong Street,,
No Tour, 북한전통음식문화연구원(능라밥상), 북한전통음식문화연구원(능라밥상),,
No Tour, DMZ, DMZ,,
No Tour, The Third Tunnel, The Third Tunnel,,
No Tour, Dorasan Station, Dorasan Station,,
No Tour, Dora Observatory, Dora Observatory,,
"Private Van Tour to Seoraksan, Naksansa Temple & More",Seoraksan National Park,Seoraksan National Park,,
"Private Van Tour to Seoraksan, Naksansa Temple & More", Naksansa Temple, Naksansa Temple,,
"Private Van Tour to Seoraksan, Naksansa Temple & More", Daepo Port, Daepo Port,,
"Private Van Tour to Seoraksan, Naksansa Temple & More", Sokcho Tourist Fish Market, Sokcho Tourist Fish Market,,
"Private Van Tour to Seoraksan, Naksansa Temple & More", Abai village, Abai village,,
"One Day Private Tour-Nami Island, Petite and Garden of Morning Calm(Incl. Lunch)",Nami Island,Nami Island,,
"One Day Private Tour-Nami Island, Petite and Garden of Morning Calm(Incl. Lunch)", Petite France, Petite France,,
"One Day Private Tour-Nami Island, Petite and Garden of Morning Calm(Incl. Lunch)", The Garden of Morning Calm, The Garden of Morning Calm,,
Vivaldi Park Snowyland Self-guided Day Tour,Vivaldi Park,Vivaldi Park,,
BTS Army Tour,Hyangho,Hyangho,,
BTS Army Tour, Jumunjin Beach, Jumunjin Beach,,
BTS Army Tour, Iryeong Station - Closed  Station, Iryeong Station - Closed  Station,,
BTS Army Tour, LINE FRIENDS Cafe and Store, LINE FRIENDS Cafe and Store,,
"Private Van tour to Paju Province, Premium Outlet & Hyeri Art Village (upt10pax)",Paju Provence Village,Paju Provence Village,,
"Private Van tour to Paju Province, Premium Outlet & Hyeri Art Village (upt10pax)", Heyri Art Village, Heyri Art Village,,
"Private Van tour to Paju Province, Premium Outlet & Hyeri Art Village (upt10pax)", Paju Premium Outlets, Paju Premium Outlets,,
Classic Naejangsan National Park One Day Tour (Autumn Limited）,Naejangsan National Park,Naejangsan National Park,,
Special Korea DMZ Tour,Odusan Unification Tower,Odusan Unification Tower,,
Special Korea DMZ Tour, The War Memorial of Korea, The War Memorial of Korea,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included),289-13,289-13,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), O’sulloc Tea Museum, O’sulloc Tea Museum,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), Camellia Hill, Camellia Hill,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), Cheonjeyeon Falls, Cheonjeyeon Falls,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), Segowipo Maeil Olle Market, Segowipo Maeil Olle Market,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), 289-13, 289-13,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), O’sulloc Tea Museum, O’sulloc Tea Museum,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), Camellia Hill, Camellia Hill,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), Cheonjeyeon Falls, Cheonjeyeon Falls,,
Jeju island West 1 day Bus tour (Lunch + Free Snap Photo included), Segowipo Maeil Olle Market, Segowipo Maeil Olle Market,,
Half day Walking tour - Gyeongbok Palace & Bukchon Hanok Village,Seoul,Seoul,,
Half day Walking tour - Gyeongbok Palace & Bukchon Hanok Village, Gwanghwamun Square, Gwanghwamun Square,,
Half day Walking tour - Gyeongbok Palace & Bukchon Hanok Village, Gyeongbokgung Palace, Gyeongbokgung Palace,,
Half day Walking tour - Gyeongbok Palace & Bukchon Hanok Village, National Folk Museum of Korea, National Folk Museum of Korea,,
Half day Walking tour - Gyeongbok Palace & Bukchon Hanok Village, Bukchon Hanok Village, Bukchon Hanok Village,,
4 Hours Private tour with top attractions in Seoul,Seoul,Seoul,,
4 Hours Private tour with top attractions in Seoul, Gyeongbokgung Palace, Gyeongbokgung Palace,,
4 Hours Private tour with top attractions in Seoul, National Folk Museum of Korea, National Folk Museum of Korea,,
4 Hours Private tour with top attractions in Seoul, N Seoul Tower, N Seoul Tower,,
"BTS fliming location in Jeonju Tour with House of Awon, Jeonju Zoo",Songgwangsuman-ro,Songgwangsuman-ro,,
"BTS fliming location in Jeonju Tour with House of Awon, Jeonju Zoo", Jeonju Hanok Village, Jeonju Hanok Village,,
"BTS fliming location in Jeonju Tour with House of Awon, Jeonju Zoo", Omokdae and Imokdae, Omokdae and Imokdae,,
"BTS fliming location in Jeonju Tour with House of Awon, Jeonju Zoo", Nambu Market, Nambu Market,,
Relaxing Into Healing: Hwadam Forest & The Stay Healing Park Tour,Hwadam Botanic Garden,Hwadam Botanic Garden,,
Relaxing Into Healing: Hwadam Forest & The Stay Healing Park Tour, Koo House Museum, Koo House Museum,,
Relaxing Into Healing: Hwadam Forest & The Stay Healing Park Tour, The Stay HEALING PARK, The Stay HEALING PARK,,
"Sizzling Seoul: Private Food Tour - Korean BBQ, Market & Street Food",Ikseon-dong Hanok Street,Ikseon-dong Hanok Street,,
"Sizzling Seoul: Private Food Tour - Korean BBQ, Market & Street Food", 종묘광장공원, 종묘광장공원,,
"Sizzling Seoul: Private Food Tour - Korean BBQ, Market & Street Food", Kwangjang Market, Kwangjang Market,,
"Sizzling Seoul: Private Food Tour - Korean BBQ, Market & Street Food", Mi Galmaegisal, Mi Galmaegisal,,
Junam Wetlands and Haeinsa Temple Tour,Junam Reservoir,Junam Reservoir,,
Junam Wetlands and Haeinsa Temple Tour, Haeinsa Temple, Haeinsa Temple,,
Busan Custom-made Car Tour （Private Tour）,Beomeosa Temple,Beomeosa Temple,,
Busan Custom-made Car Tour （Private Tour）, UN Memorial Cemetery, UN Memorial Cemetery,,
Fun & Informative Mokpo Food Virtual Tour in Korea ,Port of Mokpo,Port of Mokpo,,
Fun & Informative Mokpo Food Virtual Tour in Korea , Ssugkkulle, Ssugkkulle,,
Fun & Informative Mokpo Food Virtual Tour in Korea , Myeong-Injib, Myeong-Injib,,
Fun & Informative Mokpo Food Virtual Tour in Korea , 독천식당, 독천식당,,
Fun & Informative Mokpo Food Virtual Tour in Korea , Mokpo Modern History Museum, Mokpo Modern History Museum,,
Fun & Informative Mokpo Food Virtual Tour in Korea , Mokpo Marine Cable Car, Mokpo Marine Cable Car,,
Fun & Informative Mokpo Food Virtual Tour in Korea , Gatbawi Rock, Gatbawi Rock,,
Fun & Informative Mokpo Food Virtual Tour in Korea , Peace Square, Peace Square,,
[Seoul Live Virtual Tour with OraeGage] Korean Snack Foods Cooking Class,Gangnam / Nonhyeon / Yeoksam,Gangnam / Nonhyeon / Yeoksam,,
Private Tongdosa Temple Tour including Gourmet Eonyang Style Bulgogi Lunch,Tongdosa Temple,Tongdosa Temple,,
Private Tongdosa Temple Tour including Gourmet Eonyang Style Bulgogi Lunch, Eonyang-eup, Eonyang-eup,,
"Suwon Hwaseong Fortress Food Walking Tour, KTourTOP10",Yeonmudae (Dongjangdae),Yeonmudae (Dongjangdae),,
"Suwon Hwaseong Fortress Food Walking Tour, KTourTOP10", Banghwasuryujeong Pavilion (Dongbukgakru), Banghwasuryujeong Pavilion (Dongbukgakru),,
"Suwon Hwaseong Fortress Food Walking Tour, KTourTOP10", Jidong Market, Jidong Market,,
"Suwon Hwaseong Fortress Food Walking Tour, KTourTOP10", Haenggung Street, Haenggung Street,,
"Suwon Hwaseong Fortress Food Walking Tour, KTourTOP10", Haenggung Street, Haenggung Street,,
"Suwon Hwaseong Fortress Food Walking Tour, KTourTOP10", Hwaseong Haenggung Palace, Hwaseong Haenggung Palace,,
"Korea Half-Day Tour DMZ from Seoul, No Shopping",Seoul,Seoul,,
